id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
80,Therapeutic Mechanisms of Jinshuiqing in IgA Nephropathy: A Transcriptomic Analysis,"Zha Z, Song W, Wang R, Zhang X, Liu X, Wang L.",2025,,10.12659/MSMBR.950343,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
81,Causal association between gut microbiota composition and the risk of atrial fibrillation,"Tan J, Wang J, Yang Y, Zhu J, Wang L, Xu W, Lyu S, Wu S, Wang J, Zhang H.",2025,,10.1515/jtim-2025-0031,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
82,Endophytic Bacterial and Fungal Communities of Spruce Picea jezoensis in the Russian Far East,"Nityagovsky NN, Ananev AA, Suprun AR, Dneprovskaya AA, Kiselev KV, Aleynova OA.",2025,,10.3390/plants14162534,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
83,Deciphering Common Genetic Pathways to Antibiotic Resistance in Escherichia coli Using a MEGA-Plate Evolution System,"Morales-Durán N, León-Buitimea A, Álvarez Martínez R, Morones-Ramírez JR.",2025,,10.3390/antibiotics14080841,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
84,Global status and trends of proteomics in obesity: a bibliometric analysis and knowledge graph study,"Wu X, Chen Y, Wu T, Pan Q, Guo L.",2025,,10.1186/s41182-025-00785-7,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
85,"Shen-Ling-Bai-Zhu-San alleviates Crohn's disease-like colitis by modulating fatty acid degradation via the peroxisome proliferation-activated receptor pathway: An integrated approach combining network pharmacology, microbiomics, metabolomics, proteomics, and experimental validation","Zheng L, Cui A, Shang J, Liu F, Zhang X, Dou X, Liu J, Li Y.",2025,,10.1016/j.jep.2025.120460,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
86,Microbial profile of the appendix niche in acute appendicitis: a novel sampling approach,"Ma H, Wang M, Feng Y, Zhang W, Wang W, Xie Y, Kong G, Feng J, Wang P, Wang Q, Huang X.",2025,,10.1002/2211-5463.70105,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
87,Construction of a feature gene and machine prediction model for inflammatory bowel disease based on multichip joint analysis,"Chaosheng Y, Haowen S, Jingjing R, Yuanyuan D, Wenhui D, Yingyue S, Yuzheng X.",2025,,10.1186/s12967-025-06838-z,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
88,Interactions at sea: on the microbiome life-cycle and biogeochemical processes,Schneider T.,2025,,10.1007/s40656-025-00687-1,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
90,Microbial Dynamics in a Musalais Wine Fermentation: A Metagenomic Study,"Pei Y, Chen M, Chen Q.",2025,,10.3390/foods14152570,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
92,Abnormal Vaginal Microbiota Associated with miRNA Targeting the HIV-Host Interactome,"Fichorova RN, Cezar-de-Mello PFT, Dreyfuss JM, Yamamoto H, Chen PL, Hui P, Gao X, Morrison C, Barbieri R, Doncel GF.",2025,,10.1101/2025.07.18.665639,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
93,Bibliometric and visualized analysis of the relationship between rheumatoid arthritis and periodontitis-related bacteria using CiteSpace software,"Lin T, Xu Z, Chen J, Wang X, Li Q, Ye B, Hu C.",2025,,10.3389/fmicb.2025.1589331,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
94,Genomic and Metabolomic Analysis of the Endophytic Fungus Alternaria alstroemeriae S6 Isolated from Veronica acinifolia: Identification of Anti-Bacterial Properties and Production of Succinic Acid,"Eshboev F, Gao AX, Abdurashidov A, Mardieva K, Baymirzaev A, Musakhanov M, Yusupova E, Lin S, Yang M, Dong TTX, Sagdullaev S, Azimova S, Tsim KWK.",2025,,10.3390/antibiotics14070713,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
